"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U14,U3,U10,U15,U7,U18,U19,U6,U11,U21,U23";"SOIC-8_3.9x4.9mm_P1.27mm";11;"INA219AxD";;;
2;"J10,J8,J11";"TerminalBlock_Phoenix_MKDS-1,5-10-5.08_1x10_P5.08mm_Horizontal";3;"Screw_Terminal_01x10";;;
3;"TP6,TP9,TP12,TP7,TP3,TP5,TP16,TP15,TP1,TP17,TP13,TP18,TP10,TP8,TP14,TP4,TP11";"TestPoint_Plated_Hole_D2.0mm";17;"TestPoint";;;
4;"JP5,JP6,JP3,JP4,JP2,JP1";"PinHeader_1x02_P2.00mm_Horizontal";6;"Jumper_2_Open";;;
5;"J2";"Molex_Mega-Fit_76825-0002_2x01_P5.70mm_Horizontal";1;"76825-0002";;;
6;"U8,U9,U12,U4,U5,U13,U17,U1";"DC_DC_LM2596_small";8;"LM2596_5v";;;
7;"J9";"TerminalBlock_Phoenix_MKDS-1,5-5-5.08_1x05_P5.08mm_Horizontal";1;"5v block";;;
8;"R15,R3,R7,R5,R6,R4,R10,R8,R14,R9,R11";"R_2816_7142Metric_Pad3.20x4.45mm_HandSolder";11;"0.1";;;
9;"K1,K2";"Relay_J107F";2;"J107F1CS203VDC.80";;;
10;"C1";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";1;"0.1uF";;;
11;"R1,R2,R16";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";3;"10k";;;
12;"U20,U22,U16";"DC_DC_LM2596_small";3;"LM2596_11.5v";;;
13;"J1";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"Screw_Terminal_01x02";;;
14;"C2";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";1;"0.1";;;
15;"J6,J3,J5,J4";"USB_A_Wuerth_61400826021_Horizontal_Stacked";4;"USB_A_Stacked";;;
16;"R13,R12";"R_2512_6332Metric_Pad1.40x3.35mm_HandSolder";2;"3.3K";;;
17;"SW1";"SW_CuK_OS102011MA1QN1_SPDT_Angled";1;"SW_SPDT";;;
18;"U24";"PinSocket_1x08_P2.54mm_Vertical";1;"MCP9808_MSOP";;;
19;"J12";"TerminalBlock_Phoenix_MKDS-1,5-5-5.08_1x05_P5.08mm_Horizontal";1;"gnd block";;;
20;"F1,F2";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";2;"1210L900SLPR";;;
21;"U2";"MODULE_ESP32-DEVKITC-32D";1;"ESP32-DEVKITC-32D";;;
22;"J7";"TerminalBlock_Phoenix_PT-1,5-8-5.0-H_1x08_P5.00mm_Horizontal";1;"Screw_Terminal_01x08";;;
